comunidad_autonoma,Año 2022
TOTAL NACIONAL,240.19
Andalucía,241.66
Almería           ,210.83
Cádiz             ,146.03
Córdoba           ,182.91
Granada           ,319.47
Huelva            ,n.s.
Jaén              ,222.49
Málaga            ,317.49
Sevilla           ,277.56
Aragón,235.51
Huesca            ,.
Teruel            ,.
Zaragoza          ,235.51
Asturias (Principado de ),141.89
Balears (Illes),376.81
Canarias,300.65
Palmas (Las)      ,316.02
Santa Cruz de Tenerife,280.33
Cantabria,n.s.
Castilla y León,192.45
Avila             ,99.04
Burgos            ,n.s.
León              ,n.s.
Palencia          ,n.s.
Salamanca         ,n.s.
Segovia           ,n.s.
Soria             ,.
Valladolid        ,206.21
Zamora            ,n.s.
Castilla-La Mancha,175.34
Albacete          ,n.s.
Ciudad Real       ,210.49
Cuenca            ,124.29
Guadalajara       ,271.72
Toledo            ,124.67
Cataluña,345.53
Barcelona,370.42
Girona,336.85
Lleida,.
Tarragona,114.46
Comunidad Valenciana,267.9
Alicante/Alacant,306.35
Castellón/Castelló,194.63
Valencia/València,251.94
Extremadura,214.95
Badajoz           ,208.24
Cáceres           ,n.s.
Galicia,217.21
Coruña (A),212.88
Lugo,.
Ourense,n.s.
Pontevedra,211.27
Madrid (Comunidad de),554.63
Murcia (Región de),101.04
Navarra (Comunidad Foral de),n.s.
País Vasco,251.54
Álava,324.3
Guipúzcoa,.
Vizcaya,213.5
Rioja (La),n.s.
Ceuta y Melilla,160.48
