,distrito,url,m2_medio,m2_estudio_q1hab
0,Centro,centro,5947,5808
1,Tetuán,tetuan,4445,4697
2,Barrio de Salamanca,barrio-de-salamanca,7151,7461
3,Carabanchel,carabanchel,2505,3107
4,Chamberí,chamberi,6231,6575
5,Chamartín,chamartin,5585,5622
6,Hortaleza,hortaleza,4225,4743
7,Latina,latina,2652,2927
8,Ciudad Lineal,ciudad-lineal,3463,4038
9,Arganzuela,arganzuela,4347,4593
10,Puente de Vallecas,puente-de-vallecas,2308,2813
11,Moncloa - Aravaca,moncloa-aravaca,4785,5763
12,Retiro,retiro,5306,6578
13,San Blas,san-blas,2956,3562
14,Villaverde,villaverde,1958,2564
15,Fuencarral - El Pardo,fuencarral-el-pardo,3909,4179
16,Usera,usera,2528,3143
17,Villa de Vallecas,villa-de-vallecas,2705,3278
18,Vicálvaro,vicalvaro,3597,
19,Barajas,barajas,3331,3642
