Municipios,Sexo,Periodo,Total
Madrid,Total,2022,6750336
Alcalá de Henares,Total,2022,196888
Alcobendas,Total,2022,117041
Alcorcón,Total,2022,170296
Aranjuez,Total,2022,59762
Arganda del Rey,Total,2022,57553
Boadilla del Monte,Total,2022,62627
Collado Villalba,Total,2022,64263
Colmenar Viejo,Total,2022,53389
Coslada,Total,2022,80596
Fuenlabrada,Total,2022,189891
Getafe,Total,2022,183219
Leganés,Total,2022,186660
Majadahonda,Total,2022,72179
Móstoles,Total,2022,208761
Parla,Total,2022,130577
Pinto,Total,2022,54088
Pozuelo de Alarcón,Total,2022,87728
Rivas-Vaciamadrid,Total,2022,96690
"Rozas de Madrid, Las",Total,2022,95725
San Sebastián de los Reyes,Total,2022,91083
Torrejón de Ardoz,Total,2022,134733
Tres Cantos,Total,2022,50187
Valdemoro,Total,2022,79100
